category,product_name,active_ingredients,strength,form,package,pharmacy,sku,wholesale_cost,retail_price,rx_required,tags,notes
Hormone Therapy,BIEST(50 E3: 50 E2),,1.5MG,capsule,,V Pharm,BIEST505021.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,2MG/M,capsule,,V Pharm,BIEST505022CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,2.5MG,capsule,,V Pharm,BIEST5050212.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,3MG,capsule,,V Pharm,BIEST505023CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,3.5MG,capsule,,V Pharm,BIEST505023.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,4MG,capsule,,V Pharm,BIEST505024CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,4.5MG,capsule,,V Pharm,BIEST505024.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,5MG,capsule,,V Pharm,BIEST505025CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,5.5MG,capsule,,V Pharm,BIEST505025.5CAP,0.75,,yes,,
Hormone Therapy,BIEST(50 E3: 50 E2),,6MG,capsule,,V Pharm,BIEST505026CAP,0.75,,yes,,
Hormone Therapy,Clomiphene Capsule,,12.5mg,capsule,,V Pharm,CLOMCAP12.5,0.63,,yes,fertility,
Hormone Therapy,Clomiphene Capsule,,25mg,capsule,,V Pharm,CLOMCAP25,0.75,,yes,fertility,
Hormone Therapy,Clomiphene Capsule,,51mg,capsule,,V Pharm,CLOMCAP51,0.88,,yes,fertility,
Hormone Therapy,DHEASR,,5mg,capsule,,V Pharm,DHEASR5,0.5,,yes,,form inferred
Hormone Therapy,DHEASR,,10mg,capsule,,V Pharm,DHEASR10,0.5,,yes,,form inferred
Hormone Therapy,DHEASR,,25mg,capsule,,V Pharm,DHEASR25,0.5,,yes,,form inferred
Hormone Therapy,DHEASR,,50mg,capsule,,V Pharm,DHEASR50,0.5,,yes,,form inferred
Hormone Therapy,DHEASR,,100mg,capsule,,V Pharm,DHEASR100,0.5,,yes,,form inferred
Hormone Therapy,DHEA,,5mg/ml,cream,,V Pharm,DHEA5CR,0.63,,yes,,
Hormone Therapy,DHEA,,10mg/ml,cream,,V Pharm,DHEA10CR,0.63,,yes,,
Hormone Therapy,DHEA,,25mg/ml,cream,,V Pharm,DHEA25CR,0.63,,yes,,
Hormone Therapy,DHEA,,50mg/ml,cream,,V Pharm,DHEA50CR,0.75,,yes,,
Hormone Therapy,DHEA,,100mg/ml,cream,,V Pharm,DHEA100CR,0.75,,yes,,
Hormone Therapy,Enclomiphene Capsule,,25mg,capsule,,V Pharm,ENC25,1.25,,yes,fertility,
Hormone Therapy,Enclomiphene Capsule,,51mg,capsule,,V Pharm,ENC50,2.19,,yes,fertility,
Hormone Therapy,Estradiol,,0.25mg,capsule,,V Pharm,ESTR0.25CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,0.5mg,capsule,,V Pharm,ESTR0.5CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,1mg,capsule,,V Pharm,ESTR1CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,1.5mg,capsule,,V Pharm,ESTR1.5CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,2mg,capsule,,V Pharm,ESTR2CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,2.5mg,capsule,,V Pharm,ESTR2.5CAP,0.63,,yes,,
Hormone Therapy,Estradiol,,0.25MG/ML,cream,30mLTube,V Pharm,ESTRCR0.25,27.5,,yes,,
Hormone Therapy,Estradiol,,0.5MG/ML,cream,30mLTube,V Pharm,ESTRCR0.5,27.5,,yes,,
Hormone Therapy,Estradiol,,1MG/ML,cream,30mLTube,V Pharm,ESTRCR1,27.5,,yes,,
Hormone Therapy,Estradiol,,1.5MG/ML,cream,30mLTube,V Pharm,ESTRCR1.5,27.5,,yes,,
Hormone Therapy,Estradiol,,2MG/ML,cream,30mLTube,V Pharm,ESTRCR2,27.5,,yes,,
Hormone Therapy,Estradiol,,2.5MG/ML,cream,30mLTube,V Pharm,ESTRCR2.5,27.5,,yes,,
Hormone Therapy,Estradiol,,3MG/ML,cream,30mLTube,V Pharm,ESTRCR3,27.5,,yes,,
Hormone Therapy,ESTRADIOL,,0.1MG/ML,cream,30mLTube,V Pharm,ESTRVAGCRM0.1,27.5,,yes,,
Hormone Therapy,ESTRADIOL,,0.5MG/ML,cream,30mLTube,V Pharm,ESTRVAGCRM0.5,27.5,,yes,,
Hormone Therapy,ESTRADIOL,,0.01%,cream,30mLTube,V Pharm,ESTRVAGCRM0.01,27.5,,yes,,
Hormone Therapy,ESTRADIOL,,10MG/ML,cream,30mLTube,V Pharm,ESTRVAGCRM10,27.5,,yes,,
Hormone Therapy,Estradiol 0.5mg Tablet,,0.5mg,tablet,,V Pharm,ESTR0.5TAB,0.94,,yes,,
Hormone Therapy,Estradiol 10mcg Vaginal Insert,,10mcg,tablet,,V Pharm,ESTR0.5TAB,93.75,,yes,,
Hormone Therapy,Estradiol 1mg Tablet,,1mg,tablet,,V Pharm,ESTR1,0.94,,yes,,
Hormone Therapy,Estradiol 2mg Tablet,,2mg,tablet,,V Pharm,ESTR2-VS,0.94,,yes,,
Hair Restoration,Finasteride,,.50mg,capsule,,V Pharm,FINA.50MG,0.5,,yes,,form inferred
Hair Restoration,Finasteride-commercial,,1.0mg,capsule,,V Pharm,FINACOM1,0.5,,yes,,form inferred
Hair Restoration,Finasteride/Minoxidil,,0.25%/5%,capsule,,V Pharm,FINAMINFO255,40,,yes,,form inferred
Hair Restoration,Finasteride/Minoxidil,,0.25/12%,capsule,,V Pharm,FINAMINFO2512,40,,yes,,form inferred
Hair Restoration,Finasteride/Minoxidil,,1mg/2.5mg,capsule,,V Pharm,FINAMINCAP125,0.94,,yes,,
Hair Restoration,Finasteride/Minoxidil,,0.25/12%;,capsule,30mL,V Pharm,FINMINSOL25,40,,yes,,form inferred
Hair Restoration,Finasteride/Minoxidil/Tretinoin,,0.25mg/5.0mg/0.03% 30ml,capsule,,V Pharm,FINMINTRETF,40,,yes,,form inferred
Weight Management,Metformin,,500mg,tablet,,V Pharm,MET500,0.5,,yes,,
Weight Management,Metformin,,1000mg,tablet,,V Pharm,MET1000,0.5,,yes,,
Hair Restoration,Minoxidil,,2.5mg,capsule,,V Pharm,MINOXIDIL25,0.5,,yes,,form inferred
Weight Management,Low Dose Naltrexone,,1.5mg,injectable,,V Pharm,LDNAL1.5,1.25,,yes,metabolic,LDN — also used for autoimmune/inflammation; form inferred
Weight Management,Low Dose Naltrexone,,3mg,injectable,,V Pharm,LDNAL3,1.25,,yes,metabolic,LDN — also used for autoimmune/inflammation; form inferred
Weight Management,Low Dose Naltrexone,,4.5mg,injectable,,V Pharm,LDNAL4.5,1.25,,yes,metabolic,LDN — also used for autoimmune/inflammation; form inferred
Weight Management,Low Dose Naltrexone,,6mg,injectable,,V Pharm,LDNAL6,1.25,,yes,metabolic,LDN — also used for autoimmune/inflammation; form inferred
Sexual Wellness,Oxytocin,,50IU,troche,,V Pharm,OXY-50-RDT-VS,0.75,,yes,peptide,
Sexual Wellness,Oxytocin,,250IU,troche,,V Pharm,OXY-250-RDT-VS,1.25,,yes,peptide,
Weight Management,Phentermine,,37.5mg,tablet,,V Pharm,PHENTAB375,0.63,,yes,,
Weight Management,Phentermine/Topiramate,,15mg/12.5mg,injectable,,V Pharm,PHEN-TOP-15-VS,1.25,,yes,,form inferred
Weight Management,Phentermine/Topiramate,,30mg/12.5mg,injectable,,V Pharm,PHEN-TOP-30-VS,1.25,,yes,,form inferred
Hormone Therapy,Pregnenolone,,25mg,capsule,,V Pharm,PREG-CAPS-25MG-VIOS,0.75,,yes,,
Hormone Therapy,Pregnenolone,,50mg,capsule,,V Pharm,PREG-CAPS-50MG-VIOS,0.75,,yes,,
Hormone Therapy,Pregnenolone,,100mg,capsule,,V Pharm,PREG-CAPS-100MG-VIOS,0.94,,yes,,
Hormone Therapy,Progesterone,,25mg,capsule,,V Pharm,PRGT25CAP,0.75,,yes,,
Hormone Therapy,Progesterone,,50mg,capsule,,V Pharm,PRGT50CAP,0.75,,yes,,
Hormone Therapy,Progesterone,,100mg,capsule,,V Pharm,PRGT50CAP,0.75,,yes,,
Hormone Therapy,Progesterone,,200mg,capsule,,V Pharm,PRGT200CAP,0.94,,yes,,
Hormone Therapy,Progesterone,,50mg/mL,cream,30mLTube,V Pharm,PROG-CREAM-50/30-VIOS,27.5,,yes,,
Hormone Therapy,Progesterone,,100mg/mL,cream,30mLTube,V Pharm,PROG-CREAM-100/30-VS,27.5,,yes,,
Hormone Therapy,Progesterone,,200mg/mL,cream,30mLTube,V Pharm,PROG-CREAM-200/30-VS,27.5,,yes,,
Sexual Wellness,Sildenafil,,55mg,capsule,,V Pharm,SIL-55-CAP-VS,1.25,,yes,,
Sexual Wellness,Sildenafil,,110mg,capsule,,V Pharm,SIL-110-CAP-VS,1.25,,yes,,
